   0.9494600     -7.0000000E-02
   0.8495800      8.9999996E-03
   0.7500200      7.1999997E-02
   0.6495700      0.1180000    
   0.5496700      0.1650000    
   0.4497000      0.2170000    
   0.3497300      0.2300000    
   0.2497600      0.2740000    
   0.1499600      0.3180000    
   0.1003900      0.3420000    
   6.5360002E-02  0.3760000    
   4.0250000E-02  0.3360000    
   1.9850001E-02  0.2270000    
   5.7799998E-03 -0.3150000    
   5.0000002E-04 -0.6360000    
   1.9300000E-03 -0.2100000    
   6.3000000E-03  0.2540000    
   1.2650000E-02  0.6510000    
   2.0120000E-02   1.018000    
   2.9990001E-02   1.244000    
   4.9950000E-02   1.291000    
   7.4819997E-02   1.275000    
   9.9900000E-02   1.209000    
   0.1397600      0.9180000    
   0.1799100      0.7850000    
   0.2199000      0.2450000    
   0.2597600      0.2070000    
   0.2998600      0.2190000    
   0.3397900      0.2340000    
   0.3797600      0.2460000    
   0.4198800      0.2720000    
   0.4597000      0.2450000    
   0.4998700      0.2330000    
   0.5397500      0.2130000    
   0.5798500      0.1920000    
   0.6197600      0.1820000    
   0.6596600      0.1760000    
   0.6997900      0.1750000    
   0.7398000      0.1820000    
   0.7794200      0.1950000    
   0.8198500      0.2180000    
   0.8594300      0.2380000    
   0.8996100      0.2560000    
   0.9495900      0.2800000    
   0.9845500      0.2180000    
