#    x/c      Cp
    1.009     1.10320
    1.005     0.38817
    0.995     0.28208
    0.978     0.21247
    0.956     0.15783
    0.929     0.11161
    0.897     0.07175
    0.860     0.03587
    0.820     0.00315
    0.776    -0.02742
    0.729    -0.05641
    0.680    -0.08449
    0.630    -0.11230
    0.578    -0.13962
    0.525    -0.16685
    0.473    -0.19326
    0.421    -0.21820
    0.371    -0.24066
    0.322    -0.25866
    0.275    -0.27057
    0.230    -0.27423
    0.189    -0.26630
    0.151    -0.24376
    0.117    -0.20338
    0.086    -0.13738
    0.060    -0.03865
    0.039     0.11122
    0.022     0.33499
    0.010     0.67553
    0.002     1.04931
    0.000     0.93650
    0.002     0.08690
    0.010    -0.66381
    0.022    -0.96815
    0.039    -1.04142
    0.060    -1.06501
    0.086    -1.03888
    0.117    -0.98915
    0.151    -0.92004
    0.189    -0.84702
    0.230    -0.77192
    0.275    -0.69693
    0.322    -0.62452
    0.371    -0.55510
    0.421    -0.48879
    0.473    -0.42649
    0.525    -0.36802
    0.578    -0.31310
    0.630    -0.26172
    0.680    -0.21274
    0.729    -0.16591
    0.776    -0.12016
    0.820    -0.07446
    0.860    -0.02804
    0.897     0.02031
    0.929     0.07152
    0.956     0.12784
    0.978     0.19178
    0.995     0.26961
    1.005     0.38277
