X/C              CP        
0.941842       0.199037
0.946375       0.208434
0.950743       0.217853
0.954946       0.227570
0.958979       0.237744
0.962840       0.248302
0.966528       0.259163
0.970039       0.270432                             
0.973371       0.282365
0.976521       0.294628
0.979488       0.306958                             
0.982267       0.320456                             
0.984857       0.335029                             
0.987255       0.349722
0.989458       0.365513
0.991463       0.382927
0.993267       0.401399
0.994867       0.421607
0.996259       0.444214
0.997440       0.470638
0.998404       0.500625
0.999147       0.538447
0.999659       0.582401
0.999928       0.664454
