X/C          CP            
0.798294     -1.025368    
0.805878     -1.027157    
0.813358     -1.028270    
0.820733     -1.030122    
0.827999     -1.030858    
0.835154     -1.034032    
0.842195     -1.032085    
0.849119     -1.016302    
0.855924     -0.855898    
0.862607     -0.426769    
0.869164     -0.036959    
0.875594      0.179289    
0.881894      0.153371    
0.888061      0.163183    
0.894092      0.170857    
0.899985      0.176641    
0.905738      0.182933    
0.911346      0.189877    
0.916809      0.197022    
0.922123      0.204284    
0.927286      0.211673    
0.932296      0.219372    
0.937148      0.227522    
0.941842      0.236015    
0.946375      0.244672    
0.950743      0.253367    
0.954946      0.262361    
0.958979      0.271801    
0.962840      0.281616    
0.966528      0.291726    
0.970039      0.302229    
0.973371      0.313366    
0.976521      0.324820    
0.979488      0.336351    
0.982267      0.348981    
0.984857      0.362633    
0.987255      0.376409    
0.989458      0.391224    
0.991463      0.407572    
0.993267      0.424931    
0.994867      0.443929    
0.996259      0.465195    
0.997440      0.490060    
0.998404      0.518290    
0.999147      0.553867    
0.999659      0.595299    
0.999928      0.672615    
