#      x          Cp  
     1.00000    0.41609
     0.99168    0.23041
     0.98036    0.17393
     0.96726    0.12569
     0.95271    0.08729
     0.93719    0.05436
     0.92111    0.02558
     0.90473   -0.00010
     0.88820   -0.02342
     0.87159   -0.04492
     0.85494   -0.06500
     0.83826   -0.08399
     0.82157   -0.10210
     0.80487   -0.11953
     0.78817   -0.13643
     0.77146   -0.15291
     0.75474   -0.16908
     0.73803   -0.18502
     0.72131   -0.20081
     0.70459   -0.21651
     0.68788   -0.23217
     0.67117   -0.24785
     0.65446   -0.26359
     0.63776   -0.27944
     0.62107   -0.29543
     0.60439   -0.31160
     0.58771   -0.32799
     0.57105   -0.34462
     0.55440   -0.36153
     0.53777   -0.37875
     0.52115   -0.39631
     0.50455   -0.41423
     0.48797   -0.43256
     0.47142   -0.45131
     0.45488   -0.47052
     0.43838   -0.49023
     0.42190   -0.51046
     0.40545   -0.53125
     0.38904   -0.55265
     0.37267   -0.57469
     0.35634   -0.59742
     0.34005   -0.62089
     0.32382   -0.64517
     0.30764   -0.67032
     0.29153   -0.69642
     0.27549   -0.72356
     0.25952   -0.75185
     0.24364   -0.78142
     0.22787   -0.81242
     0.21221   -0.84503
     0.19669   -0.87947
     0.18133   -0.91601
     0.16617   -0.95495
     0.15126   -0.99666
     0.13665   -1.04154
     0.12244   -1.09002
     0.10875   -1.14249
     0.09574   -1.19919
     0.08357   -1.26014
     0.07241   -1.32497
     0.06239   -1.39301
     0.05353   -1.46336
     0.04580   -1.53510
     0.03910   -1.60741
     0.03329   -1.67951
     0.02825   -1.75066
     0.02387   -1.81996
     0.02003   -1.88608
     0.01666   -1.94714
     0.01369   -2.00036
     0.01108   -2.04165
     0.00879   -2.06515
     0.00678   -2.06276
     0.00505   -2.02381
     0.00358   -1.93552
     0.00236   -1.78493
     0.00140   -1.56311
     0.00070   -1.27166
     0.00024   -0.92706
     0.00003   -0.56143
     0.00003   -0.21087
     0.00024    0.12133
     0.00070    0.41769
     0.00140    0.65563
     0.00236    0.82640
     0.00358    0.93318
     0.00505    0.98670
     0.00678    0.99985
     0.00879    0.98437
     0.01108    0.94958
     0.01369    0.90229
     0.01666    0.84726
     0.02003    0.78773
     0.02387    0.72583
     0.02825    0.66297
     0.03329    0.60013
     0.03910    0.53803
     0.04580    0.47729
     0.05353    0.41860
     0.06239    0.36271
     0.07241    0.31046
     0.08357    0.26260
     0.09574    0.21963
     0.10875    0.18173
     0.12244    0.14871
     0.13665    0.12021
     0.15126    0.09573
     0.16617    0.07476
     0.18133    0.05685
     0.19669    0.04158
     0.21221    0.02859
     0.22787    0.01757
     0.24364    0.00828
     0.25952    0.00049
     0.27549   -0.00598
     0.29153   -0.01131
     0.30764   -0.01562
     0.32382   -0.01904
     0.34005   -0.02167
     0.35634   -0.02360
     0.37267   -0.02491
     0.38904   -0.02567
     0.40545   -0.02594
     0.42190   -0.02578
     0.43838   -0.02523
     0.45488   -0.02433
     0.47142   -0.02312
     0.48797   -0.02163
     0.50455   -0.01989
     0.52115   -0.01791
     0.53777   -0.01572
     0.55440   -0.01334
     0.57105   -0.01077
     0.58771   -0.00802
     0.60439   -0.00510
     0.62107   -0.00201
     0.63776    0.00124
     0.65446    0.00468
     0.67117    0.00829
     0.68788    0.01211
     0.70459    0.01613
     0.72131    0.02039
     0.73803    0.02492
     0.75474    0.02974
     0.77146    0.03490
     0.78817    0.04046
     0.80487    0.04648
     0.82157    0.05306
     0.83826    0.06028
     0.85494    0.06831
     0.87159    0.07731
     0.88820    0.08754
     0.90473    0.09935
     0.92111    0.11320
     0.93719    0.12978
     0.95271    0.15010
     0.96726    0.17558
     0.98036    0.21014
     0.99168    0.25400
     1.00000    0.41609
