#      x          Cp  
     1.00000    0.41805
     0.99168    0.23061
     0.98036    0.17302
     0.96726    0.12354
     0.95271    0.08393
     0.93719    0.04980
     0.92111    0.01983
     0.90473   -0.00701
     0.88820   -0.03147
     0.87159   -0.05409
     0.85494   -0.07530
     0.83826   -0.09539
     0.82157   -0.11462
     0.80487   -0.13317
     0.78817   -0.15119
     0.77146   -0.16881
     0.75474   -0.18613
     0.73803   -0.20324
     0.72131   -0.22022
     0.70459   -0.23713
     0.68788   -0.25403
     0.67117   -0.27099
     0.65446   -0.28804
     0.63776   -0.30523
     0.62107   -0.32260
     0.60439   -0.34020
     0.58771   -0.35807
     0.57105   -0.37623
     0.55440   -0.39473
     0.53777   -0.41360
     0.52115   -0.43288
     0.50455   -0.45260
     0.48797   -0.47281
     0.47142   -0.49352
     0.45488   -0.51480
     0.43838   -0.53667
     0.42190   -0.55918
     0.40545   -0.58238
     0.38904   -0.60632
     0.37267   -0.63106
     0.35634   -0.65665
     0.34005   -0.68318
     0.32382   -0.71071
     0.30764   -0.73935
     0.29153   -0.76920
     0.27549   -0.80038
     0.25952   -0.83304
     0.24364   -0.86736
     0.22787   -0.90354
     0.21221   -0.94184
     0.19669   -0.98255
     0.18133   -1.02603
     0.16617   -1.07273
     0.15126   -1.12315
     0.13665   -1.17786
     0.12244   -1.23751
     0.10875   -1.30269
     0.09574   -1.37387
     0.08357   -1.45123
     0.07241   -1.53451
     0.06239   -1.62304
     0.05353   -1.71585
     0.04580   -1.81194
     0.03910   -1.91048
     0.03329   -2.01070
     0.02825   -2.11194
     0.02387   -2.21342
     0.02003   -2.31397
     0.01666   -2.41178
     0.01369   -2.50408
     0.01108   -2.58655
     0.00879   -2.65274
     0.00678   -2.69330
     0.00505   -2.69543
     0.00358   -2.64290
     0.00236   -2.51790
     0.00140   -2.30573
     0.00070   -2.00276
     0.00024   -1.62306
     0.00003   -1.20124
     0.00003   -0.78150
     0.00024   -0.36780
     0.00070    0.01993
     0.00140    0.35079
     0.00236    0.60869
     0.00358    0.79184
     0.00505    0.90910
     0.00678    0.97361
     0.00879    0.99851
     0.01108    0.99489
     0.01369    0.97131
     0.01666    0.93400
     0.02003    0.88743
     0.02387    0.83469
     0.02825    0.77795
     0.03329    0.71876
     0.03910    0.65828
     0.04580    0.59752
     0.05353    0.53745
     0.06239    0.47912
     0.07241    0.42361
     0.08357    0.37196
     0.09574    0.32491
     0.10875    0.28281
     0.12244    0.24565
     0.13665    0.21312
     0.15126    0.18478
     0.16617    0.16016
     0.18133    0.13879
     0.19669    0.12024
     0.21221    0.10416
     0.22787    0.09022
     0.24364    0.07817
     0.25952    0.06775
     0.27549    0.05879
     0.29153    0.05110
     0.30764    0.04453
     0.32382    0.03896
     0.34005    0.03428
     0.35634    0.03039
     0.37267    0.02720
     0.38904    0.02463
     0.40545    0.02263
     0.42190    0.02113
     0.43838    0.02008
     0.45488    0.01943
     0.47142    0.01915
     0.48797    0.01920
     0.50455    0.01955
     0.52115    0.02018
     0.53777    0.02105
     0.55440    0.02216
     0.57105    0.02350
     0.58771    0.02504
     0.60439    0.02678
     0.62107    0.02871
     0.63776    0.03084
     0.65446    0.03317
     0.67117    0.03570
     0.68788    0.03844
     0.70459    0.04141
     0.72131    0.04463
     0.73803    0.04812
     0.75474    0.05192
     0.77146    0.05606
     0.78817    0.06060
     0.80487    0.06561
     0.82157    0.07115
     0.83826    0.07734
     0.85494    0.08432
     0.87159    0.09225
     0.88820    0.10139
     0.90473    0.11206
     0.92111    0.12474
     0.93719    0.14009
     0.95271    0.15913
     0.96726    0.18327
     0.98036    0.21637
     0.99168    0.25885
     1.00000    0.41805
