#      x          Cp  
     1.00000    0.41162
     0.99168    0.23645
     0.98036    0.18595
     0.96726    0.14432
     0.95271    0.11223
     0.93719    0.08552
     0.92111    0.06279
     0.90473    0.04300
     0.88820    0.02546
     0.87159    0.00962
     0.85494   -0.00487
     0.83826   -0.01830
     0.82157   -0.03088
     0.80487   -0.04278
     0.78817   -0.05412
     0.77146   -0.06501
     0.75474   -0.07553
     0.73803   -0.08574
     0.72131   -0.09572
     0.70459   -0.10550
     0.68788   -0.11513
     0.67117   -0.12465
     0.65446   -0.13408
     0.63776   -0.14344
     0.62107   -0.15278
     0.60439   -0.16209
     0.58771   -0.17140
     0.57105   -0.18072
     0.55440   -0.19006
     0.53777   -0.19943
     0.52115   -0.20883
     0.50455   -0.21827
     0.48797   -0.22776
     0.47142   -0.23728
     0.45488   -0.24684
     0.43838   -0.25643
     0.42190   -0.26605
     0.40545   -0.27568
     0.38904   -0.28532
     0.37267   -0.29493
     0.35634   -0.30452
     0.34005   -0.31405
     0.32382   -0.32350
     0.30764   -0.33284
     0.29153   -0.34203
     0.27549   -0.35103
     0.25952   -0.35979
     0.24364   -0.36826
     0.22787   -0.37636
     0.21221   -0.38401
     0.19669   -0.39111
     0.18133   -0.39755
     0.16617   -0.40316
     0.15126   -0.40778
     0.13665   -0.41115
     0.12244   -0.41299
     0.10875   -0.41295
     0.09574   -0.41062
     0.08357   -0.40555
     0.07241   -0.39732
     0.06239   -0.38556
     0.05353   -0.36997
     0.04580   -0.35028
     0.03910   -0.32618
     0.03329   -0.29725
     0.02825   -0.26293
     0.02387   -0.22247
     0.02003   -0.17486
     0.01666   -0.11893
     0.01369   -0.05325
     0.01108    0.02376
     0.00879    0.11365
     0.00678    0.21764
     0.00505    0.33596
     0.00358    0.46681
     0.00236    0.60502
     0.00140    0.74091
     0.00070    0.86052
     0.00024    0.94880
     0.00003    0.99439
     0.00003    0.99439
     0.00024    0.94880
     0.00070    0.86052
     0.00140    0.74091
     0.00236    0.60502
     0.00358    0.46681
     0.00505    0.33596
     0.00678    0.21764
     0.00879    0.11365
     0.01108    0.02376
     0.01369   -0.05325
     0.01666   -0.11893
     0.02003   -0.17486
     0.02387   -0.22247
     0.02825   -0.26293
     0.03329   -0.29725
     0.03910   -0.32618
     0.04580   -0.35028
     0.05353   -0.36997
     0.06239   -0.38556
     0.07241   -0.39732
     0.08357   -0.40555
     0.09574   -0.41062
     0.10875   -0.41295
     0.12244   -0.41299
     0.13665   -0.41115
     0.15126   -0.40778
     0.16617   -0.40316
     0.18133   -0.39755
     0.19669   -0.39111
     0.21221   -0.38401
     0.22787   -0.37636
     0.24364   -0.36826
     0.25952   -0.35979
     0.27549   -0.35103
     0.29153   -0.34203
     0.30764   -0.33284
     0.32382   -0.32350
     0.34005   -0.31405
     0.35634   -0.30452
     0.37267   -0.29493
     0.38904   -0.28532
     0.40545   -0.27568
     0.42190   -0.26605
     0.43838   -0.25643
     0.45488   -0.24684
     0.47142   -0.23728
     0.48797   -0.22776
     0.50455   -0.21827
     0.52115   -0.20883
     0.53777   -0.19943
     0.55440   -0.19006
     0.57105   -0.18072
     0.58771   -0.17140
     0.60439   -0.16209
     0.62107   -0.15278
     0.63776   -0.14344
     0.65446   -0.13408
     0.67117   -0.12465
     0.68788   -0.11513
     0.70459   -0.10550
     0.72131   -0.09572
     0.73803   -0.08574
     0.75474   -0.07553
     0.77146   -0.06501
     0.78817   -0.05412
     0.80487   -0.04278
     0.82157   -0.03088
     0.83826   -0.01830
     0.85494   -0.00487
     0.87159    0.00962
     0.88820    0.02546
     0.90473    0.04300
     0.92111    0.06279
     0.93719    0.08552
     0.95271    0.11223
     0.96726    0.14432
     0.98036    0.18595
     0.99168    0.23645
     1.00000    0.41162
