#      x          Cp  
     1.00000    0.41323
     0.99168    0.23143
     0.98036    0.17725
     0.96726    0.13158
     0.95271    0.09566
     0.93719    0.06518
     0.92111    0.03880
     0.90473    0.01546
     0.88820   -0.00556
     0.87159   -0.02479
     0.85494   -0.04264
     0.83826   -0.05940
     0.82157   -0.07529
     0.80487   -0.09049
     0.78817   -0.10515
     0.77146   -0.11937
     0.75474   -0.13326
     0.73803   -0.14688
     0.72131   -0.16031
     0.70459   -0.17361
     0.68788   -0.18682
     0.67117   -0.19999
     0.65446   -0.21315
     0.63776   -0.22636
     0.62107   -0.23963
     0.60439   -0.25299
     0.58771   -0.26648
     0.57105   -0.28011
     0.55440   -0.29391
     0.53777   -0.30790
     0.52115   -0.32210
     0.50455   -0.33653
     0.48797   -0.35120
     0.47142   -0.36613
     0.45488   -0.38135
     0.43838   -0.39686
     0.42190   -0.41267
     0.40545   -0.42882
     0.38904   -0.44531
     0.37267   -0.46216
     0.35634   -0.47939
     0.34005   -0.49701
     0.32382   -0.51505
     0.30764   -0.53354
     0.29153   -0.55250
     0.27549   -0.57196
     0.25952   -0.59196
     0.24364   -0.61254
     0.22787   -0.63376
     0.21221   -0.65568
     0.19669   -0.67836
     0.18133   -0.70191
     0.16617   -0.72640
     0.15126   -0.75195
     0.13665   -0.77867
     0.12244   -0.80662
     0.10875   -0.83583
     0.09574   -0.86620
     0.08357   -0.89748
     0.07241   -0.92919
     0.06239   -0.96072
     0.05353   -0.99136
     0.04580   -1.02037
     0.03910   -1.04709
     0.03329   -1.07080
     0.02825   -1.09067
     0.02387   -1.10574
     0.02003   -1.11459
     0.01666   -1.11540
     0.01369   -1.10565
     0.01108   -1.08199
     0.00879   -1.04003
     0.00678   -0.97425
     0.00505   -0.87826
     0.00358   -0.74564
     0.00236   -0.57191
     0.00140   -0.35765
     0.00070   -0.11220
     0.00024    0.14587
     0.00003    0.39108
     0.00003    0.60210
     0.00024    0.77695
     0.00070    0.90472
     0.00140    0.97793
     0.00236    1.00000
     0.00358    0.98119
     0.00505    0.93393
     0.00678    0.86930
     0.00879    0.79565
     0.01108    0.71859
     0.01369    0.64161
     0.01666    0.56671
     0.02003    0.49492
     0.02387    0.42671
     0.02825    0.36223
     0.03329    0.30145
     0.03910    0.24436
     0.04580    0.19100
     0.05353    0.14150
     0.06239    0.09614
     0.07241    0.05526
     0.08357    0.01914
     0.09574   -0.01213
     0.10875   -0.03871
     0.12244   -0.06095
     0.13665   -0.07934
     0.15126   -0.09439
     0.16617   -0.10656
     0.18133   -0.11629
     0.19669   -0.12393
     0.21221   -0.12980
     0.22787   -0.13414
     0.24364   -0.13718
     0.25952   -0.13908
     0.27549   -0.14001
     0.29153   -0.14010
     0.30764   -0.13944
     0.32382   -0.13815
     0.34005   -0.13631
     0.35634   -0.13397
     0.37267   -0.13122
     0.38904   -0.12809
     0.40545   -0.12465
     0.42190   -0.12092
     0.43838   -0.11695
     0.45488   -0.11276
     0.47142   -0.10838
     0.48797   -0.10384
     0.50455   -0.09915
     0.52115   -0.09432
     0.53777   -0.08937
     0.55440   -0.08431
     0.57105   -0.07914
     0.58771   -0.07387
     0.60439   -0.06849
     0.62107   -0.06300
     0.63776   -0.05740
     0.65446   -0.05167
     0.67117   -0.04580
     0.68788   -0.03977
     0.70459   -0.03357
     0.72131   -0.02716
     0.73803   -0.02051
     0.75474   -0.01358
     0.77146   -0.00632
     0.78817    0.00133
     0.80487    0.00944
     0.82157    0.01811
     0.83826    0.02745
     0.85494    0.03761
     0.87159    0.04878
     0.88820    0.06124
     0.90473    0.07532
     0.92111    0.09154
     0.93719    0.11058
     0.95271    0.13346
     0.96726    0.16161
     0.98036    0.19904
     0.99168    0.24563
     1.00000    0.41323
