#      x          Cp  
     1.00000    0.42302
     0.99168    0.23241
     0.98036    0.17272
     0.96726    0.12083
     0.95271    0.07886
     0.93719    0.04237
     0.92111    0.01009
     0.90473   -0.01905
     0.88820   -0.04576
     0.87159   -0.07062
     0.85494   -0.09405
     0.83826   -0.11636
     0.82157   -0.13781
     0.80487   -0.15859
     0.78817   -0.17886
     0.77146   -0.19876
     0.75474   -0.21839
     0.73803   -0.23786
     0.72131   -0.25723
     0.70459   -0.27659
     0.68788   -0.29600
     0.67117   -0.31552
     0.65446   -0.33522
     0.63776   -0.35513
     0.62107   -0.37532
     0.60439   -0.39582
     0.58771   -0.41669
     0.57105   -0.43797
     0.55440   -0.45971
     0.53777   -0.48196
     0.52115   -0.50476
     0.50455   -0.52815
     0.48797   -0.55220
     0.47142   -0.57695
     0.45488   -0.60246
     0.43838   -0.62879
     0.42190   -0.65600
     0.40545   -0.68416
     0.38904   -0.71336
     0.37267   -0.74367
     0.35634   -0.77521
     0.34005   -0.80806
     0.32382   -0.84237
     0.30764   -0.87828
     0.29153   -0.91595
     0.27549   -0.95558
     0.25952   -0.99741
     0.24364   -1.04171
     0.22787   -1.08881
     0.21221   -1.13912
     0.19669   -1.19310
     0.18133   -1.25136
     0.16617   -1.31458
     0.15126   -1.38362
     0.13665   -1.45945
     0.12244   -1.54316
     0.10875   -1.63587
     0.09574   -1.73854
     0.08357   -1.85179
     0.07241   -1.97563
     0.06239   -2.10945
     0.05353   -2.25225
     0.04580   -2.40292
     0.03910   -2.56061
     0.03329   -2.72472
     0.02825   -2.89484
     0.02387   -3.07066
     0.02003   -3.25142
     0.01666   -3.43578
     0.01369   -3.62118
     0.01108   -3.80318
     0.00879   -3.97437
     0.00678   -4.12314
     0.00505   -4.23228
     0.00358   -4.27821
     0.00236   -4.23229
     0.00140   -4.06623
     0.00070   -3.76323
     0.00024   -3.32986
     0.00003   -2.80405
     0.00003   -2.24759
     0.00024   -1.66572
     0.00070   -1.08167
     0.00140   -0.54437
     0.00236   -0.08724
     0.00358    0.27536
     0.00505    0.54640
     0.00678    0.73824
     0.00879    0.86624
     0.01108    0.94489
     0.01369    0.98628
     0.01666    0.99988
     0.02003    0.99280
     0.02387    0.97035
     0.02825    0.93640
     0.03329    0.89384
     0.03910    0.84490
     0.04580    0.79141
     0.05353    0.73505
     0.06239    0.67746
     0.07241    0.62035
     0.08357    0.56530
     0.09574    0.51360
     0.10875    0.46610
     0.12244    0.42313
     0.13665    0.38464
     0.15126    0.35036
     0.16617    0.31991
     0.18133    0.29290
     0.19669    0.26891
     0.21221    0.24761
     0.22787    0.22866
     0.24364    0.21181
     0.25952    0.19681
     0.27549    0.18345
     0.29153    0.17155
     0.30764    0.16094
     0.32382    0.15150
     0.34005    0.14310
     0.35634    0.13563
     0.37267    0.12900
     0.38904    0.12313
     0.40545    0.11793
     0.42190    0.11335
     0.43838    0.10932
     0.45488    0.10579
     0.47142    0.10272
     0.48797    0.10007
     0.50455    0.09780
     0.52115    0.09588
     0.53777    0.09428
     0.55440    0.09298
     0.57105    0.09196
     0.58771    0.09120
     0.60439    0.09070
     0.62107    0.09044
     0.63776    0.09041
     0.65446    0.09062
     0.67117    0.09106
     0.68788    0.09175
     0.70459    0.09269
     0.72131    0.09389
     0.73803    0.09539
     0.75474    0.09720
     0.77146    0.09936
     0.78817    0.10192
     0.80487    0.10493
     0.82157    0.10848
     0.83826    0.11264
     0.85494    0.11756
     0.87159    0.12339
     0.88820    0.13037
     0.90473    0.13881
     0.92111    0.14916
     0.93719    0.16209
     0.95271    0.17856
     0.96726    0.20002
     0.98036    0.23019
     0.99168    0.26984
     1.00000    0.42302
