#      x          Cp  
     1.00000    0.41234
     0.99168    0.23264
     0.98036    0.17965
     0.96726    0.13531
     0.95271    0.10065
     0.93719    0.07142
     0.92111    0.04625
     0.90473    0.02409
     0.88820    0.00423
     0.87159   -0.01387
     0.85494   -0.03060
     0.83826   -0.04624
     0.82157   -0.06103
     0.80487   -0.07512
     0.78817   -0.08867
     0.77146   -0.10177
     0.75474   -0.11452
     0.73803   -0.12700
     0.72131   -0.13927
     0.70459   -0.15138
     0.68788   -0.16338
     0.67117   -0.17531
     0.65446   -0.18722
     0.63776   -0.19912
     0.62107   -0.21106
     0.60439   -0.22305
     0.58771   -0.23512
     0.57105   -0.24729
     0.55440   -0.25957
     0.53777   -0.27199
     0.52115   -0.28456
     0.50455   -0.29729
     0.48797   -0.31019
     0.47142   -0.32328
     0.45488   -0.33656
     0.43838   -0.35004
     0.42190   -0.36373
     0.40545   -0.37764
     0.38904   -0.39178
     0.37267   -0.40614
     0.35634   -0.42074
     0.34005   -0.43557
     0.32382   -0.45064
     0.30764   -0.46596
     0.29153   -0.48154
     0.27549   -0.49736
     0.25952   -0.51345
     0.24364   -0.52981
     0.22787   -0.54644
     0.21221   -0.56336
     0.19669   -0.58057
     0.18133   -0.59809
     0.16617   -0.61591
     0.15126   -0.63403
     0.13665   -0.65243
     0.12244   -0.67105
     0.10875   -0.68974
     0.09574   -0.70829
     0.08357   -0.72635
     0.07241   -0.74344
     0.06239   -0.75899
     0.05353   -0.77241
     0.04580   -0.78312
     0.03910   -0.79054
     0.03329   -0.79401
     0.02825   -0.79276
     0.02387   -0.78585
     0.02003   -0.77193
     0.01666   -0.74931
     0.01369   -0.71576
     0.01108   -0.66841
     0.00879   -0.60374
     0.00678   -0.51762
     0.00505   -0.40574
     0.00358   -0.26459
     0.00236   -0.09333
     0.00140    0.10372
     0.00070    0.31476
     0.00024    0.52150
     0.00003    0.70262
     0.00003    0.84345
     0.00024    0.94265
     0.00070    0.99339
     0.00140    0.99501
     0.00236    0.95567
     0.00358    0.88780
     0.00505    0.80362
     0.00678    0.71267
     0.00879    0.62129
     0.01108    0.53320
     0.01369    0.45027
     0.01666    0.37323
     0.02003    0.30217
     0.02387    0.23682
     0.02825    0.17682
     0.03329    0.12175
     0.03910    0.07131
     0.04580    0.02528
     0.05353   -0.01641
     0.06239   -0.05370
     0.07241   -0.08646
     0.08357   -0.11465
     0.09574   -0.13834
     0.10875   -0.15779
     0.12244   -0.17343
     0.13665   -0.18574
     0.15126   -0.19521
     0.16617   -0.20226
     0.18133   -0.20728
     0.19669   -0.21058
     0.21221   -0.21242
     0.22787   -0.21303
     0.24364   -0.21258
     0.25952   -0.21123
     0.27549   -0.20911
     0.29153   -0.20632
     0.30764   -0.20297
     0.32382   -0.19912
     0.34005   -0.19485
     0.35634   -0.19023
     0.37267   -0.18529
     0.38904   -0.18009
     0.40545   -0.17466
     0.42190   -0.16903
     0.43838   -0.16325
     0.45488   -0.15732
     0.47142   -0.15127
     0.48797   -0.14512
     0.50455   -0.13887
     0.52115   -0.13255
     0.53777   -0.12616
     0.55440   -0.11970
     0.57105   -0.11318
     0.58771   -0.10659
     0.60439   -0.09993
     0.62107   -0.09319
     0.63776   -0.08637
     0.65446   -0.07945
     0.67117   -0.07242
     0.68788   -0.06525
     0.70459   -0.05792
     0.72131   -0.05041
     0.73803   -0.04266
     0.75474   -0.03465
     0.77146   -0.02632
     0.78817   -0.01761
     0.80487   -0.00843
     0.82157    0.00130
     0.83826    0.01171
     0.85494    0.02295
     0.87159    0.03523
     0.88820    0.04880
     0.90473    0.06404
     0.92111    0.08144
     0.93719    0.10172
     0.95271    0.12588
     0.96726    0.15535
     0.98036    0.19420
     0.99168    0.24211
     1.00000    0.41234
