#      x          Cp  
     1.00000    0.42036
     0.99168    0.23127
     0.98036    0.17262
     0.96726    0.12192
     0.95271    0.08112
     0.93719    0.04580
     0.92111    0.01467
     0.90473   -0.01333
     0.88820   -0.03892
     0.87159   -0.06266
     0.85494   -0.08498
     0.83826   -0.10619
     0.82157   -0.12653
     0.80487   -0.14619
     0.78817   -0.16534
     0.77146   -0.18410
     0.75474   -0.20257
     0.73803   -0.22086
     0.72131   -0.23903
     0.70459   -0.25717
     0.68788   -0.27532
     0.67117   -0.29355
     0.65446   -0.31192
     0.63776   -0.33047
     0.62107   -0.34924
     0.60439   -0.36829
     0.58771   -0.38765
     0.57105   -0.40736
     0.55440   -0.42747
     0.53777   -0.44802
     0.52115   -0.46905
     0.50455   -0.49059
     0.48797   -0.51270
     0.47142   -0.53542
     0.45488   -0.55880
     0.43838   -0.58288
     0.42190   -0.60771
     0.40545   -0.63337
     0.38904   -0.65991
     0.37267   -0.68741
     0.35634   -0.71594
     0.34005   -0.74559
     0.32382   -0.77647
     0.30764   -0.80870
     0.29153   -0.84240
     0.27549   -0.87775
     0.25952   -0.91493
     0.24364   -0.95416
     0.22787   -0.99571
     0.21221   -1.03991
     0.19669   -1.08713
     0.18133   -1.13786
     0.16617   -1.19266
     0.15126   -1.25219
     0.13665   -1.31722
     0.12244   -1.38862
     0.10875   -1.46722
     0.09574   -1.55373
     0.08357   -1.64853
     0.07241   -1.75149
     0.06239   -1.86195
     0.05353   -1.97892
     0.04580   -2.10133
     0.03910   -2.22835
     0.03329   -2.35924
     0.02825   -2.49348
     0.02387   -2.63049
     0.02003   -2.76927
     0.01666   -2.90820
     0.01369   -3.04457
     0.01108   -3.17397
     0.00879   -3.28940
     0.00678   -3.38038
     0.00505   -3.43189
     0.00358   -3.42411
     0.00236   -3.33401
     0.00140   -3.14044
     0.00070   -2.83362
     0.00024   -2.42431
     0.00003   -1.94908
     0.00003   -1.46068
     0.00024   -0.96372
     0.00070   -0.48006
     0.00140   -0.04937
     0.00236    0.30402
     0.00358    0.57248
     0.00505    0.76227
     0.00678    0.88637
     0.00879    0.95912
     0.01108    0.99333
     0.01369    0.99932
     0.01666    0.98489
     0.02003    0.95581
     0.02387    0.91623
     0.02825    0.86913
     0.03329    0.81670
     0.03910    0.76061
     0.04580    0.70227
     0.05353    0.64298
     0.06239    0.58408
     0.07241    0.52695
     0.08357    0.47290
     0.09574    0.42294
     0.10875    0.37764
     0.12244    0.33716
     0.13665    0.30130
     0.15126    0.26970
     0.16617    0.24191
     0.18133    0.21750
     0.19669    0.19605
     0.21221    0.17719
     0.22787    0.16062
     0.24364    0.14604
     0.25952    0.13322
     0.27549    0.12196
     0.29153    0.11207
     0.30764    0.10341
     0.32382    0.09583
     0.34005    0.08923
     0.35634    0.08349
     0.37267    0.07852
     0.38904    0.07425
     0.40545    0.07061
     0.42190    0.06752
     0.43838    0.06495
     0.45488    0.06282
     0.47142    0.06112
     0.48797    0.05979
     0.50455    0.05880
     0.52115    0.05812
     0.53777    0.05774
     0.55440    0.05762
     0.57105    0.05775
     0.58771    0.05812
     0.60439    0.05872
     0.62107    0.05954
     0.63776    0.06058
     0.65446    0.06183
     0.67117    0.06330
     0.68788    0.06500
     0.70459    0.06694
     0.72131    0.06914
     0.73803    0.07162
     0.75474    0.07442
     0.77146    0.07756
     0.78817    0.08110
     0.80487    0.08510
     0.82157    0.08963
     0.83826    0.09480
     0.85494    0.10074
     0.87159    0.10762
     0.88820    0.11567
     0.90473    0.12522
     0.92111    0.13673
     0.93719    0.15087
     0.95271    0.16862
     0.96726    0.19142
     0.98036    0.22306
     0.99168    0.26413
     1.00000    0.42036
