#      x          Cp  
     1.00000    0.42602
     0.99168    0.23400
     0.98036    0.17333
     0.96726    0.12028
     0.95271    0.07717
     0.93719    0.03953
     0.92111    0.00610
     0.90473   -0.02416
     0.88820   -0.05199
     0.87159   -0.07795
     0.85494   -0.10248
     0.83826   -0.12589
     0.82157   -0.14845
     0.80487   -0.17034
     0.78817   -0.19174
     0.77146   -0.21278
     0.75474   -0.23357
     0.73803   -0.25421
     0.72131   -0.27479
     0.70459   -0.29538
     0.68788   -0.31605
     0.67117   -0.33687
     0.65446   -0.35790
     0.63776   -0.37919
     0.62107   -0.40079
     0.60439   -0.42277
     0.58771   -0.44516
     0.57105   -0.46803
     0.55440   -0.49142
     0.53777   -0.51538
     0.52115   -0.53997
     0.50455   -0.56524
     0.48797   -0.59125
     0.47142   -0.61806
     0.45488   -0.64574
     0.43838   -0.67435
     0.42190   -0.70397
     0.40545   -0.73469
     0.38904   -0.76659
     0.37267   -0.79978
     0.35634   -0.83438
     0.34005   -0.87051
     0.32382   -0.90833
     0.30764   -0.94801
     0.29153   -0.98975
     0.27549   -1.03378
     0.25952   -1.08039
     0.24364   -1.12991
     0.22787   -1.18274
     0.21221   -1.23935
     0.19669   -1.30033
     0.18133   -1.36638
     0.16617   -1.43836
     0.15126   -1.51729
     0.13665   -1.60437
     0.12244   -1.70095
     0.10875   -1.80843
     0.09574   -1.92808
     0.08357   -2.06076
     0.07241   -2.20666
     0.06239   -2.36525
     0.05353   -2.53551
     0.04580   -2.71632
     0.03910   -2.90688
     0.03329   -3.10667
     0.02825   -3.31552
     0.02387   -3.53339
     0.02003   -3.75985
     0.01666   -3.99388
     0.01369   -4.23321
     0.01108   -4.47343
     0.00879   -4.70681
     0.00678   -4.92069
     0.00505   -5.09563
     0.00358   -5.20416
     0.00236   -5.21162
     0.00140   -5.08197
     0.00070   -4.79046
     0.00024   -4.33859
     0.00003   -3.76511
     0.00003   -3.14126
     0.00024   -2.47292
     0.00070   -1.78417
     0.00140   -1.13361
     0.00236   -0.56461
     0.00358   -0.09915
     0.00505    0.26174
     0.00678    0.52941
     0.00879    0.72000
     0.01108    0.84964
     0.01369    0.93223
     0.01666    0.97893
     0.02003    0.99835
     0.02387    0.99699
     0.02825    0.97968
     0.03329    0.95009
     0.03910    0.91104
     0.04580    0.86484
     0.05353    0.81355
     0.06239    0.75916
     0.07241    0.70369
     0.08357    0.64903
     0.09574    0.59680
     0.10875    0.54808
     0.12244    0.50345
     0.13665    0.46303
     0.15126    0.42667
     0.16617    0.39408
     0.18133    0.36488
     0.19669    0.33874
     0.21221    0.31530
     0.22787    0.29429
     0.24364    0.27541
     0.25952    0.25845
     0.27549    0.24319
     0.29153    0.22944
     0.30764    0.21706
     0.32382    0.20590
     0.34005    0.19584
     0.35634    0.18676
     0.37267    0.17858
     0.38904    0.17119
     0.40545    0.16454
     0.42190    0.15854
     0.43838    0.15314
     0.45488    0.14828
     0.47142    0.14392
     0.48797    0.14001
     0.50455    0.13652
     0.52115    0.13341
     0.53777    0.13064
     0.55440    0.12821
     0.57105    0.12608
     0.58771    0.12424
     0.60439    0.12267
     0.62107    0.12136
     0.63776    0.12031
     0.65446    0.11950
     0.67117    0.11895
     0.68788    0.11865
     0.70459    0.11862
     0.72131    0.11886
     0.73803    0.11939
     0.75474    0.12024
     0.77146    0.12145
     0.78817    0.12305
     0.80487    0.12509
     0.82157    0.12766
     0.83826    0.13084
     0.85494    0.13475
     0.87159    0.13955
     0.88820    0.14547
     0.90473    0.15281
     0.92111    0.16202
     0.93719    0.17374
     0.95271    0.18894
     0.96726    0.20906
     0.98036    0.23776
     0.99168    0.27597
     1.00000    0.42602
